0,1,2,3
24,-184,192,720
2,-184,192,728
16,-192,128,672
72,-200,120,600
6,-136,376,936
12,-40,616,1192
08,24,744,1224
56,40,824,1312
44,112,920,1400
84,136,960,1440
84,152,976,1440
00,176,960,1480
56,200,1024,1512
56,312,1128,1632
44,376,1168,1672
112,504,1232,1728
168,552,1264,1736
120,504,1200,1704
040,456,1112,1680
28,160,808,1472
68,-96,464,1072
28,-144,224,824
72,-240,40,520
224,-288,-112,296
256,-328,-176,168
264,-336,-184,168
168,-288,-88,312
48,-240,48,632
64,-120,424,1040
72,128,800,1384
60,344,1048,1624
016,432,1136,1576
76,424,1072,1432
56,280,872,1128
72,176,704,824
16,128,504,672
04,56,400,536
48,64,352,496
80,56,352,456
96,40,344,512
04,72,416,568
76,96,472,656
08,152,632,848
12,216,768,1056
00,280,904,1280
52,408,1064,1496
92,392,1120,1664
56,264,944,1560
80,-24,576,1264
4,-192,280,816
192,-288,-56,360
304,-368,-248,-8
384,-400,-296,-168
376,-424,-272,-152
344,-400,-272,-96
368,-400,-280,-80
352,-400,-256,-104
360,-400,-264,-120
328,-424,-312,-144
344,-384,-272,-136
344,-360,-216,-8
248,-296,-120,224
120,-256,128,544
04,-152,376,920
56,-64,600,1144
60,-32,736,1272
92,8,792,1320
80,64,888,1384
60,112,952,1464
48,232,1040,1544
92,288,1096,1560
56,280,1112,1568
60,216,1016,1592
20,224,1000,1520
76,208,944,1536
16,120,848,1464
36,64,816,1392
40,16,736,1272
12,-8,688,1280
64,-88,576,1128
00,-120,440,1008
20,-144,384,920
12,-160,408,936
6,-168,352,880
72,-248,120,640
264,-320,-80,216
312,-352,-176,24
320,-360,-224,-8
328,-336,-240,-32
344,-384,-208,-16
328,-384,-200,32
248,-320,-104,232
200,-264,-16,408
112,-248,80,560
6,-208,176,736
52,-144,328,888
64,-112,464,1112
92,-64,552,1208
40,-16,648,1272
88,-16,608,1232
64,-8,648,1248
56,0,656,1248
56,104,792,1432
32,296,1072,1592
56,344,1120,1632
92,288,1064,1576
60,232,1056,1568
72,176,984,1512
52,120,936,1488
64,48,784,1384
84,32,720,1312
20,-40,640,1192
04,-40,640,1224
28,-40,680,1264
24,16,752,1344
88,64,872,1376
64,176,1000,1520
36,224,1088,1592
16,272,1152,1584
48,352,1192,1640
60,408,1288,1712
28,400,1224,1688
56,168,896,1512
52,-88,496,1136
4,-176,232,784
192,-264,-8,384
304,-312,-136,136
352,-368,-248,-64
336,-376,-264,-88
376,-376,-272,-96
344,-344,-272,-8
256,-344,-120,216
128,-240,72,504
20,-168,344,912
16,-24,608,1200
40,0,632,1248
48,-16,688,1272
48,40,768,1336
48,40,824,1384
00,32,792,1336
52,16,760,1288
04,-16,656,1192
28,-128,456,984
40,-200,168,696
120,-232,56,496
136,-240,16,416
136,-240,48,472
120,-232,64,536
64,-240,128,624
40,-216,184,704
4,-184,280,752
60,-96,400,928
48,-96,432,1008
84,-24,600,1168
88,24,688,1320
00,64,752,1360
28,56,752,1360
36,40,720,1360
68,56,736,1344
20,32,712,1192
72,-24,616,1008
00,-56,512,880
60,-88,472,736
44,-96,448,728
08,-24,504,744
72,0,568,816
96,-16,632,912
12,48,688,1016
68,56,752,1112
92,112,848,1208
76,104,840,1264
04,48,760,1224
92,-48,632,1192
32,-136,528,1064
8,-168,320,808
40,-168,208,712
104,-208,104,560
128,-240,64,536
160,-264,-16,392
152,-240,40,440
136,-232,80,488
96,-232,136,568
48,-216,208,680
2,-200,256,752
6,-152,376,880
40,-104,464,1032
28,-88,544,1112
84,-16,656,1184
88,40,696,1248
36,64,728,1288
20,24,712,1304
56,0,664,1296
92,-40,592,1216
24,-48,624,1248
28,-56,568,1144
84,-136,400,976
192,-272,24,448
304,-328,-160,144
336,-352,-248,-32
352,-392,-264,-80
336,-368,-240,-56
352,-368,-256,-112
336,-400,-256,-96
304,-400,-224,0
256,-304,-80,248
136,-248,104,520
0,-152,392,888
68,-120,512,992
